date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202024%2014:08:27%20GMT	https://irshadnewyear.com/robots.txt		(from )
17:08:29	451943/451943	---MCZ	200	added ('OK')	text/html	etag:%22800c99-6e3a1-629b2baf80d80-gzip%22	https://irshadnewyear.com/iphone_14_pro_max/	C:/My%20Web%20Sites/dfv/irshadnewyear.com/iphone_14_pro_max/index.html	(from )
17:08:30	1035/1035	---MCZ	200	added ('OK')	text/css	etag:W/%226574d860-40b%22	https://irshad.az/css/font/stylesheet.css?v=2	C:/My%20Web%20Sites/dfv/irshad.az/css/font/stylesheet5e1f.css	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:30	389796/389796	---MCZ	200	added ('OK')	text/css	etag:W/%2265d4686f-5f2a4%22	https://irshad.az/css/style.css?v=563	C:/My%20Web%20Sites/dfv/irshad.az/css/stylea1cc.css	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:30	575/575	---MCZ	200	added ('OK')	text/css	etag:W/%226574d85f-23f%22	https://irshad.az/css/loading.css	C:/My%20Web%20Sites/dfv/irshad.az/css/loading.css	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:30	126605/126605	---MCZ	200	added ('OK')	application/javascript	etag:W/%22658c8835-1ee8d%22	https://irshad.az/js/svg-symbols.js?v=563	C:/My%20Web%20Sites/dfv/irshad.az/js/svg-symbolsa1cc.js	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:31	1382/1382	---M--	200	added ('OK')	image/png	etag:%226574d860-906%22	https://irshad.az/favicons/apple-icon-57x57.png?ver=2	C:/My%20Web%20Sites/dfv/irshad.az/favicons/apple-icon-57x5777ae.png	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:31	1469/1469	---M--	200	added ('OK')	image/png	etag:%226574d860-986%22	https://irshad.az/favicons/apple-icon-60x60.png?ver=2	C:/My%20Web%20Sites/dfv/irshad.az/favicons/apple-icon-60x6077ae.png	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:31	1714/1714	---M--	200	added ('OK')	image/png	etag:%226574d860-c17%22	https://irshad.az/favicons/apple-icon-72x72.png?ver=2	C:/My%20Web%20Sites/dfv/irshad.az/favicons/apple-icon-72x7277ae.png	(from https://irshadnewyear.com/iphone_14_pro_max/)
17:08:31	1858/1858	---M--	200	added ('OK')	image/png	etag:%226574d860-cb1%22	https://irshad.az/favicons/apple-icon-76x76.png?ver=2	C:/My%20Web%20Sites/dfv/irshad.az/favicons/apple-icon-76x7677ae.png	(from https://irshadnewyear.com/iphone_14_pro_max/)
